depot_id,ttl_td_id,ttl_captain_id,ttl_point_a,ttl_point_b,max_diff_minutes_from_point_a,max_diff_minutes_idle_mode,max_diff_minutes_to_point_a,min_diff_minutes_from_point_a,min_diff_minutes_idle_mode,min_diff_minutes_to_point_a,avg_diff_minutes_from_point_a,avg_diff_minutes_idle_mode,avg_diff_minutes_to_point_a,med_diff_minutes_from_point_a,med_diff_minutes_idle_mode,med_diff_minutes_to_point_a,max_speed,min_speed,avg_speed,med_speed,ttl_td_completed,WaktuSebelumProblem,WaktuSebelumInspection,WaktuDiambikUtkRepair,labelencoded,busencoded,point_aencoded,point_bencoded,line_id_yencoded,br_idencoded,br_repair_statusencoded,br_entry_statusencoded,line_id_x_en,rtd_cause_en,br_ttl_days_en,rtd_id_en,route_id_en,bus_model_id_en,driver_id_en,capt_id_en,newlabel_en,prediction_label,prediction_score
2,14,1,1,1,30.933332,29.333334,49.233334,28.966667,9.2,28.266666,29.877777,17.141666,37.616665,29.733334,15.541667,36.483334,28.0,5.0,14.928572,12.5,14.0,0.0,-2.0,0.0,1,613,31,75,66,675,3,55,66,-1,1,-1,-1,-1,-1,-1,1,1,1.0
2,14,1,1,1,30.933332,29.333334,49.233334,28.966667,9.2,28.266666,29.877777,17.141666,37.616665,29.733334,15.541667,36.483334,28.0,5.0,14.928572,12.5,14.0,0.0,-2.0,0.0,1,613,31,75,66,704,3,55,66,-1,1,-1,-1,-1,-1,-1,1,1,1.0
2,14,1,1,1,30.933332,29.333334,49.233334,28.966667,9.2,28.266666,29.877777,17.141666,37.616665,29.733334,15.541667,36.483334,28.0,5.0,14.928572,12.5,14.0,0.0,-3.0,0.0,1,613,31,75,66,736,3,55,66,-1,1,-1,-1,-1,-1,-1,1,1,1.0
2,14,1,1,1,30.933332,29.333334,49.233334,28.966667,9.2,28.266666,29.877777,17.141666,37.616665,29.733334,15.541667,36.483334,28.0,5.0,14.928572,12.5,14.0,0.0,-3.0,0.0,1,613,31,75,66,756,3,55,66,-1,1,-1,-1,-1,-1,-1,1,1,1.0
2,14,1,1,1,30.933332,29.333334,49.233334,28.966667,9.2,28.266666,29.877777,17.141666,37.616665,29.733334,15.541667,36.483334,28.0,5.0,14.928572,12.5,14.0,0.0,-4.0,0.0,1,613,31,75,66,782,3,55,66,-1,1,-1,-1,-1,-1,-1,1,1,1.0
2,14,1,1,1,30.933332,29.333334,49.233334,28.966667,9.2,28.266666,29.877777,17.141666,37.616665,29.733334,15.541667,36.483334,28.0,5.0,14.928572,12.5,14.0,0.0,-4.0,0.0,1,613,31,75,66,822,3,55,66,-1,1,-1,-1,-1,-1,-1,1,1,1.0
2,14,1,1,1,30.933332,29.333334,49.233334,28.966667,9.2,28.266666,29.877777,17.141666,37.616665,29.733334,15.541667,36.483334,28.0,5.0,14.928572,12.5,14.0,0.0,-5.0,0.0,1,613,31,75,66,863,3,55,66,-1,1,-1,-1,-1,-1,-1,1,1,1.0
2,14,1,1,1,30.933332,29.333334,49.233334,28.966667,9.2,28.266666,29.877777,17.141666,37.616665,29.733334,15.541667,36.483334,28.0,5.0,14.928572,12.5,14.0,0.0,-5.0,0.0,1,613,31,75,66,888,3,55,66,-1,1,-1,-1,-1,-1,-1,1,1,1.0
7,64,1,1,1,7.5,112.5,12.0,3.0,0.5,6.5,3.9583333,27.068817,8.186459,3.6833334,2.0,8.0,42.0,1.0,17.265306,14.0,64.0,0.0,0.0,0.0,2,435,102,27,110,-1,-1,-1,110,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,24,1,1,1,48.0,94.38333,47.5,33.483334,0.0,34.5,38.91111,33.969696,40.666668,36.75,0.5,40.75,37.0,3.0,19.4375,16.0,24.0,0.0,0.0,0.0,2,212,9,25,21,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
