depot_id,ttl_td_id,ttl_captain_id,ttl_point_a,ttl_point_b,max_diff_minutes_from_point_a,max_diff_minutes_idle_mode,max_diff_minutes_to_point_a,min_diff_minutes_from_point_a,min_diff_minutes_idle_mode,min_diff_minutes_to_point_a,avg_diff_minutes_from_point_a,avg_diff_minutes_idle_mode,avg_diff_minutes_to_point_a,med_diff_minutes_from_point_a,med_diff_minutes_idle_mode,med_diff_minutes_to_point_a,max_speed,min_speed,avg_speed,med_speed,ttl_td_completed,WaktuSebelumProblem,WaktuSebelumInspection,WaktuDiambikUtkRepair,labelencoded,busencoded,point_aencoded,point_bencoded,line_id_yencoded,br_idencoded,br_repair_statusencoded,br_entry_statusencoded,line_id_x_en,rtd_cause_en,br_ttl_days_en,rtd_id_en,route_id_en,bus_model_id_en,driver_id_en,capt_id_en,newlabel_en
10,14,1,1,1,84.53333333333333,102.9,80.5,63.88333333333333,29.1,44.11666666666667,73.23333333333333,61.78333333333333,68.31111111111112,72.25833333333333,57.675,80.31666666666666,28.0,8.0,16.181818181818183,15.0,14.0,0.0,0.0,0.0,2,37,23,30,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0
10,12,1,1,1,158.95,46.25,106.6,45.86666666666667,3.8,76.75,92.72777777777776,32.36666666666666,88.5,73.36666666666666,41.48333333333333,82.15,56.0,15.0,24.09090909090909,19.0,12.0,0.0,0.0,0.0,2,7,23,30,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0
10,12,1,1,1,83.28333333333333,104.96666666666668,80.11666666666666,78.75,34.916666666666664,39.36666666666667,81.76666666666667,57.56,60.50555555555555,83.26666666666667,51.21666666666667,62.03333333333333,59.0,8.0,21.77777777777778,17.0,12.0,0.0,0.0,0.0,2,13,23,30,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0
10,12,1,1,1,79.98333333333333,103.18333333333334,83.83333333333333,75.65,33.93333333333333,55.9,77.43333333333334,53.123333333333335,70.57222222222222,76.66666666666667,44.35,71.98333333333333,45.0,8.0,17.083333333333332,14.0,12.0,0.0,0.0,0.0,1,26,23,30,0,4,2,43,0,-1,1,-1,-1,-1,-1,-1,1
10,8,1,1,1,114.93333333333334,47.083333333333336,97.56666666666666,73.83333333333333,6.433333333333334,75.03333333333333,94.38333333333333,24.0,86.3,94.38333333333333,18.48333333333333,86.3,56.0,6.0,21.285714285714285,16.0,8.0,0.0,0.0,0.0,1,35,23,30,0,7,6,161,0,-1,1,-1,-1,-1,-1,-1,1
10,8,1,1,1,114.93333333333334,47.083333333333336,97.56666666666666,73.83333333333333,6.433333333333334,75.03333333333333,94.38333333333333,24.0,86.3,94.38333333333333,18.48333333333333,86.3,56.0,6.0,21.285714285714285,16.0,8.0,0.0,-1.0,0.0,1,35,23,30,0,11,6,161,0,-1,1,-1,-1,-1,-1,-1,1
10,34,1,1,1,39.75,59.46666666666667,53.41666666666666,27.1,0.0,0.0,34.46041666666667,18.19375,37.60740740740741,35.43333333333334,18.633333333333333,44.11666666666667,43.0,7.0,24.794117647058822,23.5,34.0,0.0,0.0,0.0,2,44,23,43,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0
10,24,1,1,1,62.25,97.43333333333334,71.23333333333333,17.1,0.0,16.9,30.475,39.33636363636364,30.58055555555556,25.85833333333333,43.1,25.85,28.0,6.0,14.347826086956522,14.0,24.0,0.0,0.0,0.0,2,52,23,135,3,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,0
10,24,1,1,1,47.31666666666667,42.75,64.78333333333333,36.38333333333333,3.616666666666666,39.06666666666667,42.93611111111111,31.515151515151512,45.80555555555555,43.84166666666667,33.233333333333334,42.95,23.0,7.0,13.272727272727272,12.0,24.0,0.0,0.0,0.0,2,3,23,130,4,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,0
10,14,1,1,1,64.45,46.3,67.58333333333333,53.266666666666666,32.6,56.86666666666667,58.98333333333333,38.90555555555556,62.90555555555556,59.10833333333333,38.58333333333333,64.26666666666667,30.0,9.0,17.615384615384617,15.0,14.0,0.0,0.0,0.0,2,28,23,17,5,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,0
