route_id,route_no,route_no_cbts,route_origin,route_destination,route_type,route_category,route_service,route_corridor,route_name,route_desc,route_dist_in,route_dist_out,state_id,depot_id,status,freq_min,freq_max,total_km,km_per_trip,travel_time,deadmileage,line_id,zone,pis_profile
519,BET2,R0020,,,,Normal,RAPID,,UTAR :: HUB LEBUH PUDU,Bandar Sungai Long ~ Hab Lebuh Pudu,,,1,5,0,2.0,2.0,47.60,28.0,100.0,11.2,R002002,4,
520,BET3,R0030,SUBANG MEWAH,HAB PASAR SENI,UTAMA,Normal,RAPID,,"USJ 1 :: PASAR SENI 5 (PLATFORM D1 - D3, E1 - E3)",Subang Mewah ~ Hab Pasar Seni,24000.0,22000.0,1,7,0,15.0,30.0,46,24.0,135.0,26,R003002,3,
521,BET4,R0040,TAMAN SRI MUDA,HAB PASAR SENI,UTAMA,Normal,RAPID,,"SA411 HAB TAMAN SRI MUDA :: PASAR SENI 5 (PLATFORM D1 - D3, E1 - E3)",Taman Sri Muda ~ Hab Pasar Seni,32800.0,31200.0,1,7,0,15.0,30.0,64.00,32.0,139.0,12,R004002,3,
522,BET7,R0070,SRI NILAM,HAB MUNSHI ABDULLAH,UTAMA,Normal,RAPID,,HUB SRI NILAM :: BB,Sri Nilam ~ Hab Munshi Abdullah,,9400.0,1,4,0,4.0,4.0,9.4,9.4,30.0,6,R007002,3,
523,Subang HQ,S5010,,,0,Shuttle,SH_OTHER,,Citta Mall ~ HQ Subang,Citta Mall ~ HQ Subang,,,1,8,0,7.0,7.0,3.40,,13.0,15.0,S501002,1,
524,GREEN,S0010,,,GOKL,Shuttle,GoKL,,KLCC ~ Bukit Bintang,KLCC ~ Bukit Bintang,,,1,1,0,5.0,5.0,7.00,7.0,50.0,16.0,S001002,1,
525,KLG1,S3000,BANDAR KLANG,HOSPITAL TAR,SS,Shuttle,SS_MPK,,SRJKC KONG HOE :: TMN ANDALAS,Bandar Klang ~ Hospital TAR,17200.0,17200.0,1,7,0,15.0,15.0,16,16.0,25.0,31,S300002,1,
526,PARADIGM MALL,S5020,,,0,Shuttle,SH_OTHER,,Stesen LRT Kelana Jaya ~ Paradigm Mall,Stesen LRT Kelana Jaya ~ Paradigm Mall,,,1,8,0,50.0,50.0,6.00,,50.0,22.0,S502002,1,
527,PJ01,P0010,,,0,Shuttle,PJCT,,Taman Medan ~ Stesen LRT Taman Jaya,Taman Medan ~ Stesen LRT Taman Jaya,,,1,8,0,13.0,13.0,18.30,,80.0,16.0,P001002,1,
528,PJ02,P0020,,,0,Shuttle,PJCT,,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,Stesen LRT Taman Jaya ~ PPUM via SS2 PJ,,,1,8,0,18.0,18.0,12.60,,70.0,6.0,P002002,1,
529,PURPLE,S0020,,,GOKL,Shuttle,GoKL,,Pasar Seni ~ Bukit Bintang,Pasar Seni ~ Bukit Bintang,,,1,1,0,5.0,5.0,6.32,9.0,80.0,20.0,S002002,1,
530,SA01,S4000,STESEN KTM SEKYSEN 19,SEKSYEN 7,SS,Shuttle,SS_MBSA,,SA442 HENTIAN SEKSYEN 19 :: JAKEL,Stesen KTM Seksyen 19 ~ Seksyen 7,,20500.0,1,7,0,15.0,15.0,20.5,20.5,65.0,13,S400002,1,
531,SJ01,S2000,BRT USJ 7,STESEN LRT SUBANG JAYA,SS,Shuttle,SS_MPSJ,,BRT USJ 7  :: LRT SUBANG JAYA,BRT USJ 7 ~ Stesen LRT Subang Jaya,,16800.0,1,7,1,15.0,15.0,16.8,16.8,45.0,18,S200002,1,
